mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.7522758960723877,0.21171546312844264,0.023774385452270508,0.003737420003252191,0.2,3,200,0.8,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9884760295714371,0.9872834519750391,0.9881634625274432,0.9878584680689616,0.9869483711527833,0.9877459566591329,0.0005603623198330113,26
1.6329232692718505,0.32693391896105284,0.025887107849121092,0.00395320609151572,0.2,3,200,1.0,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9883883474698864,0.9872843837911937,0.988162003991707,0.9880532947804276,0.9869456947831061,0.9877667449632641,0.0005534484388232936,25
3.10457329750061,0.4367725737041205,0.025730180740356445,0.0047742070120965685,0.2,3,400,0.8,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.9882755758775661,0.9872211454346493,0.987850697525419,0.9878251385917434,0.9868954504013294,0.9876136015661414,0.0004917184777408711,41
3.094248390197754,0.2877331483483185,0.022875356674194335,0.006481768426234901,0.2,3,400,1.0,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 1.0}",0.9882174184509294,0.9873470526672982,0.9879551122441697,0.9879574164913526,0.9868038529862386,0.9876561705679977,0.000513247222085856,37
0.9992129802703857,0.16447781882622742,0.022073841094970702,0.0033618016282316826,0.2,4,100,0.8,"{'model__learning_rate': 0.2, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9884566423668825,0.9871730855571492,0.9878332391304793,0.9877234177495058,0.9867375828557706,0.9875847935319575,0.0005879339531684647,43
1.1604458808898925,0.30159375791689164,0.019734621047973633,0.00013943072378466223,0.2,4,100,1.0,"{'model__learning_rate': 0.2, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.9879559091809065,0.9872322946019365,0.987887423793873,0.9877536765238849,0.9866661971997949,0.9874991002600793,0.0004876866613280864,44
1.9123077869415284,0.2889317153368146,0.025908374786376955,0.0032478778683205753,0.2,4,200,0.8,"{'model__learning_rate': 0.2, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9881140711360092,0.9868690823135674,0.9873918153762319,0.9874259512315069,0.9864232040581982,0.9872448248231027,0.0005703061047939848,50
2.124086618423462,0.17897789069644363,0.019829797744750976,0.005635390502521073,0.2,4,200,1.0,"{'model__learning_rate': 0.2, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9878069865210849,0.9871281601877092,0.9874817306917085,0.9875627121775574,0.9863746216987977,0.9872708422553715,0.0004981329373114365,48
2.8399821281433106,0.14238157292837086,0.015534925460815429,0.0006151452798574763,0.2,4,400,0.8,"{'model__learning_rate': 0.2, 'model__max_depth': 4, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.9876394006138233,0.9863191941081078,0.9869093663333285,0.9869630850539132,0.9858095732996477,0.986728123881764,0.000621198775392901,59
2.761206769943237,0.041859216642644366,0.012606096267700196,0.0015584590264365495,0.2,4,400,1.0,"{'model__learning_rate': 0.2, 'model__max_depth': 4, 'model__n_estimators': 400, 'model__subsample': 1.0}",0.9873140440466991,0.9866012067962767,0.9869193961921653,0.9870769217674507,0.9856684888055863,0.9867160115216358,0.0005726689089480128,60
